section,method,K,spots,ARI_predicted,ARI_morphology,ARI_measured,delta_ARI
A1,DeepPT,6,346,0.0519,0.1418,0.1142,-0.0899
A1,DeepSpaCE,6,346,0.0668,0.1418,0.1142,-0.075
A1,EGNv1,6,346,0.0309,0.1418,0.1142,-0.1109
A1,EGNv2,6,346,0.04,0.1418,0.1142,-0.1018
A1,GeneCodeR,6,346,0.0123,0.1418,0.1142,-0.1295
A1,HisToGene,6,346,0.0565,0.1418,0.1142,-0.0853
A1,Hist2ST,6,346,0.0125,0.1418,0.1142,-0.1293
A1,ST-Net,6,346,0.0631,0.1418,0.1142,-0.0787
A1,TCGN,6,346,0.0598,0.1418,0.1142,-0.082
A1,THItoGene,6,346,0.0518,0.1418,0.1142,-0.09
A1,iStar,6,346,-0.0339,0.1418,0.1142,-0.1756
B1,DeepPT,5,295,0.224,0.3817,0.2015,-0.1577
B1,DeepSpaCE,5,293,0.259,0.3817,0.2015,-0.1228
B1,EGNv1,5,295,0.2436,0.3817,0.2015,-0.1381
B1,EGNv2,5,295,0.2659,0.3817,0.2015,-0.1159
B1,GeneCodeR,5,295,0.1661,0.3817,0.2015,-0.2157
B1,HisToGene,5,295,0.2186,0.3817,0.2015,-0.1631
B1,Hist2ST,5,295,0.3428,0.3817,0.2015,-0.0389
B1,ST-Net,5,295,0.2891,0.3817,0.2015,-0.0926
B1,TCGN,5,295,0.17,0.3817,0.2015,-0.2117
B1,THItoGene,5,295,0.3858,0.3817,0.2015,0.004
B1,iStar,5,295,0.1926,0.3817,0.2015,-0.1892
C1,DeepPT,4,176,0.1003,0.2133,0.061,-0.113
C1,DeepSpaCE,4,174,0.1625,0.2133,0.061,-0.0509
C1,EGNv1,4,176,0.0248,0.2133,0.061,-0.1885
C1,EGNv2,4,176,0.0214,0.2133,0.061,-0.1919
C1,GeneCodeR,4,176,0.0439,0.2133,0.061,-0.1694
C1,HisToGene,4,176,0.0856,0.2133,0.061,-0.1277
C1,Hist2ST,4,176,0.0972,0.2133,0.061,-0.1161
C1,ST-Net,4,176,0.1243,0.2133,0.061,-0.089
C1,TCGN,4,176,0.0919,0.2133,0.061,-0.1214
C1,THItoGene,4,176,0.1063,0.2133,0.061,-0.1071
C1,iStar,4,176,0.2118,0.2133,0.061,-0.0016
D1,DeepPT,4,306,0.0853,0.285,0.185,-0.1997
D1,DeepSpaCE,4,306,0.1335,0.285,0.185,-0.1515
D1,EGNv1,4,306,0.0314,0.285,0.185,-0.2536
D1,EGNv2,4,306,0.1005,0.285,0.185,-0.1845
