model_id,raw_mean,raw_sd,delta_mean,delta_sd,rank_raw_std,rank_raw_nostd,rank_delta_std,rank_delta_nostd,rank_shift_raw,rank_shift_delta
ST-Net,0.164857471088262,0.07912345128313329,-0.08010938934044824,0.07080972364385925,1,2,1,2,1,1
DeepPT,0.15223653636228507,0.09766137447866673,-0.09273032406642515,0.0935481006083745,2,7,2,7,5,5
DeepSpaCE,0.14673957379184632,0.08756646829579477,-0.09822728663686389,0.0367534242242061,3,8,3,8,5,5
HisToGene,0.1444727935819731,0.07614941533083214,-0.10049406684673712,0.06660187048358639,4,1,4,1,3,3
THItoGene,0.13774965486720295,0.11418040557751358,-0.10721720556150727,0.05271746526164651,5,5,5,5,0,0
Hist2ST,0.1267367249161213,0.11416365948911265,-0.11823013551258892,0.05994257335883998,6,4,6,4,2,2
TCGN,0.11996489292456505,0.05531298765716246,-0.12500196750414516,0.04519352079144236,7,3,7,3,4,4
EGNv2,0.11958210932948854,0.10399149635773153,-0.12538475109922168,0.0463234436298355,8,6,8,6,2,2
EGNv1,0.10732685366233202,0.0955654769429296,-0.1376400067663782,0.05716359815130236,9,9,9,9,0,0
genecoder_i500_j500,0.08340791525912915,0.06522964030208935,-0.16155894516958108,0.05098750661016617,10,10,10,10,0,0
iStar,0.07972647866131423,0.09211536560991587,-0.165240381767396,0.07640389045004722,11,11,11,11,0,0
