model_id,a_std,a_nostd,p_std,p_nostd,w_std,w_nostd
DeepPT,0.15223653636228512,0.11452553385258768,0.0546875,0.0546875,7,7
DeepSpaCE,0.14673957379184635,0.11342228002851965,0.0078125,0.015625,8,7
EGNv1,0.10732685366233205,0.11203420704207187,0.0078125,0.0078125,8,8
EGNv2,0.1195821093294886,0.11616637602946905,0.0078125,0.0078125,8,8
HisToGene,0.14447279358197312,0.14867794669356926,0.015625,0.015625,7,7
Hist2ST,0.12673672491612134,0.12927423456489479,0.0078125,0.0078125,8,8
ST-Net,0.16485747108826201,0.13369762217161288,0.0234375,0.015625,7,7
TCGN,0.11996489292456511,0.13316480506624068,0.0078125,0.0234375,8,7
THItoGene,0.137749654867203,0.12034246213316731,0.015625,0.0078125,7,8
genecoder_i500_j500,0.08340791525912918,0.0927196101098722,0.0078125,0.0078125,8,8
iStar,0.07972647866131424,0.07245341192946428,0.0078125,0.0078125,8,8
